perturbation,level,mAP50,mAP50_95,precision,recall,f1
clean,0,0.7594673971672351,0.41869317622549096,0.7381121139217758,0.6945813764935588,0.7156854296109533
gaussian_blur,1,0.5014758870932825,0.25271309144801346,0.6950539702303725,0.45002608699052876,0.5463241045855787
gaussian_blur,2,0.27905905738760284,0.1238688683260281,0.6516763350837412,0.2492545042269121,0.36058985824482304
gaussian_blur,3,0.21856953458434622,0.10312629743311938,0.32476271691116504,0.19675718119593677,0.24505065662461883
gaussian_blur,4,0.19164977173253386,0.09421940636614187,0.2851177725462218,0.14665117110674056,0.19368162468329872
motion_blur,1,0.6931602848845907,0.3791741214879632,0.7711223104771183,0.5895657154753337,0.6682314652944865
motion_blur,2,0.592905117286293,0.30845372365642176,0.7492221806467855,0.5107389056129604,0.6074106903419217
motion_blur,3,0.5307334898500858,0.2626458062791139,0.7164089405316584,0.46411634155779785,0.5633036438666558
motion_blur,4,0.48974743852923613,0.22780287991601214,0.7068657580982501,0.41842884756116816,0.5256810493074041
gaussian_noise,1,0.4738515945791714,0.2387418990146787,0.5425714463790615,0.42917157579270415,0.4792547768487475
gaussian_noise,2,0.2546960244433551,0.12969560129097013,0.3579009349817584,0.23182854516862797,0.2813888600249532
gaussian_noise,3,0.0923891077813087,0.04177355524802892,0.3346325383068958,0.07279592067018925,0.11957870480335259
gaussian_noise,4,0.032778044183202855,0.015329761631278025,0.022950656561236904,0.15023079691716582,0.039818298734821324
brightness_shift,1,0.7471508580366256,0.408886583580745,0.704761346063338,0.6884650146432604,0.6965178726469412
brightness_shift,2,0.6890286270481442,0.37549011842859825,0.6654598346591264,0.634561254960561,0.6496433499100795
brightness_shift,3,0.7463261890253529,0.40198436697683587,0.7495587821266442,0.6774006137717866,0.7116552587692029
brightness_shift,4,0.7243000865342607,0.384695451385367,0.7222935624023729,0.652010890612634,0.6853550796151
contrast_reduction,1,0.7446390527230854,0.4021419497381476,0.7447906876869673,0.6741833909773542,0.7077303510234736
contrast_reduction,2,0.6733189934087109,0.35765996546809237,0.6746233851408844,0.6096194418643325,0.6404762757791785
contrast_reduction,3,0.5220855690342106,0.2717622754064279,0.67167847152998,0.4187823647007563,0.5159049995746856
contrast_reduction,4,0.3061326329102921,0.15532612627272682,0.6081303239149903,0.19611527053122113,0.2965851322442125
jpeg_compression,1,0.7348988295973697,0.39890856333759445,0.6946392085870189,0.6930441328917153,0.6938407540077188
jpeg_compression,2,0.6942064514327976,0.372651772979378,0.6754596390395268,0.6340791240749645,0.6541155837976972
jpeg_compression,3,0.6786787390545758,0.35320800448436535,0.6947675883318167,0.6019260183501943,0.6450231357173529
jpeg_compression,4,0.5516718385238294,0.2869636969005616,0.5801105795373394,0.507315803035944,0.5412766679638635
