image_id,image_path,image_width,image_height,split,class_id,class_name,x_center,y_center,bbox_w,bbox_h,bbox_area,x1,y1,x2,y2,aspect_ratio,norm_area,size_category,relative_area,shape_category,norm_x,norm_y,touches_left,touches_top,touches_right,touches_bottom,touches_any_edge,out_of_bounds
crazing_1,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_1.jpg,200,200,train,0,crazing,97.5,98.0,191.0,192.0,36672.0,2.0,2.0,193.0,194.0,0.9947916666666666,0.9168,large,91.67999999999999,Square (0.75-1.25),0.4875,0.49,True,True,False,False,True,False
crazing_101,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_101.jpg,200,200,train,0,crazing,113.5,82.0,147.0,140.0,20580.0,40.0,12.0,187.0,152.0,1.05,0.5145,large,51.449999999999996,Square (0.75-1.25),0.5675,0.41,False,False,False,False,False,False
crazing_104,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_104.jpg,200,200,train,0,crazing,56.99999999999999,70.0,106.0,132.0,13992.0,3.999999999999993,4.0,110.0,136.0,0.803030303030303,0.3498,large,34.98,Square (0.75-1.25),0.285,0.35,False,False,False,False,False,False
crazing_104,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_104.jpg,200,200,train,0,crazing,169.5,33.0,55.00000000000001,46.0,2530.0000000000005,142.0,10.0,197.0,56.0,1.1956521739130437,0.06325000000000001,medium,6.325000000000001,Square (0.75-1.25),0.8475,0.165,False,False,False,False,False,False
crazing_104,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_104.jpg,200,200,train,0,crazing,168.0,79.0,62.0,74.0,4588.0,137.0,42.0,199.0,116.0,0.8378378378378378,0.1147,medium,11.469999999999999,Square (0.75-1.25),0.84,0.395,False,False,True,False,True,False
crazing_104,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_104.jpg,200,200,train,2,patches,98.0,184.5,40.0,31.0,1240.0,78.0,169.0,118.0,200.0,1.2903225806451613,0.031,medium,3.1,Wide (AR>1.25),0.49,0.9225,False,False,False,True,True,False
crazing_105,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_105.jpg,200,200,train,0,crazing,58.5,68.5,109.00000000000001,131.0,14279.000000000002,3.999999999999993,3.0,113.0,134.0,0.8320610687022901,0.35697500000000004,large,35.697500000000005,Square (0.75-1.25),0.2925,0.3425,False,False,False,False,False,False
crazing_105,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_105.jpg,200,200,train,0,crazing,165.0,75.0,64.0,148.0,9472.0,133.0,1.0,197.0,149.0,0.43243243243243246,0.2368,large,23.68,Tall (AR<0.75),0.825,0.375,False,True,False,False,True,False
crazing_105,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_105.jpg,200,200,train,0,crazing,128.0,23.0,138.0,44.0,6072.0,59.0,1.0,197.0,45.0,3.1363636363636362,0.1518,medium,15.18,Wide (AR>1.25),0.64,0.115,False,True,False,False,True,False
crazing_105,D:\DigiSteel-Yolo\DigiSteel-YOLO\datasets\NEU-DET\yolo\images\train\crazing_105.jpg,200,200,train,1,inclusion,63.0,108.0,115.99999999999999,34.0,3943.9999999999995,5.000000000000007,91.0,121.0,125.0,3.4117647058823524,0.0986,medium,9.86,Wide (AR>1.25),0.315,0.54,False,False,False,False,False,False
